shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S1_0,40.72175,-74.0014,124,19.664
S1_0,40.720833,-74.001533,125,19.767
S1_0,40.719917,-74.001667,126,19.869
S1_0,40.719,-74.0018,127,19.972
S1_0,40.7185,-74.002333,128,20.043
S1_0,40.718,-74.002867,129,20.115
S1_0,40.7175,-74.0034,130,20.186
S1_0,40.717,-74.003933,131,20.258
S1_0,40.7165,-74.004467,132,20.329
S1_0,40.716,-74.005,133,20.401
S1_0,40.7155,-74.0052,134,20.459
S1_0,40.715,-74.0054,135,20.517
S1_0,40.7145,-74.0056,136,20.575
S1_0,40.714,-74.0058,137,20.633
S1_0,40.7135,-74.006,138,20.691
S1_0,40.713,-74.0062,139,20.749
S1_0,40.71295,-74.006817,140,20.802
S1_0,40.7129,-74.007433,141,20.854
S1_0,40.71285,-74.00805,142,20.906
S1_0,40.7128,-74.008667,143,20.958
S1_0,40.71275,-74.009283,144,21.011
S1_0,40.7127,-74.0099,145,21.063
S1_1,40.7127,-74.0099,1,0.0
S1_1,40.71275,-74.009283,2,0.052
S1_1,40.7128,-74.008667,3,0.105
S1_1,40.71285,-74.00805,4,0.157
S1_1,40.7129,-74.007433,5,0.209
S1_1,40.71295,-74.006817,6,0.261
S1_1,40.713,-74.0062,7,0.314
S1_1,40.7135,-74.006,8,0.372
S1_1,40.714,-74.0058,9,0.43
S1_1,40.7145,-74.0056,10,0.488
S1_1,40.715,-74.0054,11,0.546
S1_1,40.7155,-74.0052,12,0.604
S1_1,40.716,-74.005,13,0.662
S1_1,40.7165,-74.004467,14,0.734
S1_1,40.717,-74.003933,15,0.805
S1_1,40.7175,-74.0034,16,0.877
S1_1,40.718,-74.002867,17,0.948
S1_1,40.7185,-74.002333,18,1.02
S1_1,40.719,-74.0018,19,1.091
S1_1,40.719917,-74.001667,20,1.194
S1_1,40.720833,-74.001533,21,1.296
S1_1,40.72175,-74.0014,22,1.399
S1_1,40.722667,-74.001267,23,1.501
S1_1,40.723583,-74.001133,24,1.604
S1_1,40.7245,-74.001,25,1.706
S1_1,40.72425,-74.000833,26,1.738
S1_1,40.724,-74.000667,27,1.769
S1_1,40.72375,-74.0005,28,1.8
S1_1,40.7235,-74.000333,29,1.831
S1_1,40.72325,-74.000167,30,1.862
S1_1,40.723,-74.0,31,1.893
S1_1,40.7243,-73.99955,32,2.043
S1_1,40.7256,-73.9991,33,2.192
S1_1,40.7269,-73.99865,34,2.342
S1_1,40.7282,-73.9982,35,2.491
S1_1,40.7295,-73.99775,36,2.641
S1_1,40.7308,-73.9973,37,2.79
S1_1,40.7305,-73.997083,38,2.828
S1_1,40.7302,-73.996867,39,2.866
S1_1,40.7299,-73.99665,40,2.904
S1_1,40.7296,-73.996433,41,2.942
S1_1,40.7293,-73.996217,42,2.98
S1_1,40.729,-73.996,43,3.018
S1_1,40.73015,-73.9951,44,3.167
S1_1,40.7313,-73.9942,45,3.316
S1_1,40.73245,-73.9933,46,3.464
S1_1,40.7336,-73.9924,47,3.613
S1_1,40.73475,-73.9915,48,3.762
S1_1,40.7359,-73.9906,49,3.91
S1_1,40.736917,-73.9901,50,4.031
S1_1,40.737933,-73.9896,51,4.151
S1_1,40.73895,-73.9891,52,4.272
S1_1,40.739967,-73.9886,53,4.393
S1_1,40.740983,-73.9881,54,4.513
S1_1,40.742,-73.9876,55,4.634
S1_1,40.743283,-73.987617,56,4.777
S1_1,40.744567,-73.987633,57,4.919
S1_1,40.74585,-73.98765,58,5.062
S1_1,40.747133,-73.987667,59,5.205
S1_1,40.748417,-73.987683,60,5.348
S1_1,40.7497,-73.9877,61,5.49
S1_1,40.750083,-73.987833,62,5.534
S1_1,40.750467,-73.987967,63,5.578
S1_1,40.75085,-73.9881,64,5.623
S1_1,40.751233,-73.988233,65,5.667
S1_1,40.751617,-73.988367,66,5.711
S1_1,40.752,-73.9885,67,5.755
S1_1,40.75255,-73.98825,68,5.819
S1_1,40.7531,-73.988,69,5.884
S1_1,40.75365,-73.98775,70,5.949
S1_1,40.7542,-73.9875,71,6.013
S1_1,40.75475,-73.98725,72,6.078
S1_1,40.7553,-73.987,73,6.143
S1_1,40.756417,-73.9865,74,6.274
S1_1,40.757533,-73.986,75,6.405
S1_1,40.75865,-73.9855,76,6.536
S1_1,40.759767,-73.985,77,6.667
S1_1,40.760883,-73.9845,78,6.798
S1_1,40.762,-73.984,79,6.93
S1_1,40.763017,-73.98365,80,7.046
S1_1,40.764033,-73.9833,81,7.163
S1_1,40.76505,-73.98295,82,7.28
S1_1,40.766067,-73.9826,83,7.397
S1_1,40.767083,-73.98225,84,7.514
S1_1,40.7681,-73.9819,85,7.63
S1_1,40.768833,-73.982167,86,7.715
S1_1,40.769567,-73.982433,87,7.8
S1_1,40.7703,-73.9827,88,7.884
S1_1,40.771033,-73.982967,89,7.969
S1_1,40.771767,-73.983233,90,8.053
S1_1,40.7725,-73.9835,91,8.138
S1_1,40.773567,-73.983233,92,8.259
S1_1,40.774633,-73.982967,93,8.379
S1_1,40.7757,-73.9827,94,8.5
S1_1,40.776767,-73.982433,95,8.621
S1_1,40.777833,-73.982167,96,8.742
S1_1,40.7789,-73.9819,97,8.862
S1_1,40.78125,-73.980333,98,9.155
S1_1,40.7836,-73.978767,99,9.448
S1_1,40.78595,-73.9772,100,9.74
S1_1,40.7883,-73.975633,101,10.033
S1_1,40.79065,-73.974067,102,10.326
S1_1,40.793,-73.9725,103,10.619
S1_1,40.79535,-73.971133,104,10.904
S1_1,40.7977,-73.969767,105,11.19
S1_1,40.80005,-73.9684,106,11.475
S1_1,40.8024,-73.967033,107,11.761
S1_1,40.80475,-73.965667,108,12.046
S1_1,40.8071,-73.9643,109,12.332
S1_1,40.807167,-73.963417,110,12.406
S1_1,40.807233,-73.962533,111,12.481
S1_1,40.8073,-73.96165,112,12.556
S1_1,40.807367,-73.960767,113,12.63
S1_1,40.807433,-73.959883,114,12.705
S1_1,40.8075,-73.959,115,12.78
S1_1,40.80755,-73.956767,116,12.968
S1_1,40.8076,-73.954533,117,13.156
S1_1,40.80765,-73.9523,118,13.344
S1_1,40.8077,-73.950067,119,13.532
S1_1,40.80775,-73.947833,120,13.72
S1_1,40.8078,-73.9456,121,13.908
S1_1,40.815,-73.942833,122,14.742
S1_1,40.8222,-73.940067,123,15.576
S1_1,40.8294,-73.9373,124,16.409
S1_1,40.8366,-73.934533,125,17.243
S1_1,40.8438,-73.931767,126,18.077
S1_1,40.851,-73.929,127,18.911
S1_1,40.8526,-73.9284,128,19.096
S1_1,40.8542,-73.9278,129,19.281
S1_1,40.8558,-73.9272,130,19.465
S1_1,40.8574,-73.9266,131,19.65
S1_1,40.859,-73.926,132,19.835
S1_1,40.8606,-73.9254,133,20.02
S1_1,40.861583,-73.9245,134,20.153
S1_1,40.862567,-73.9236,135,20.286
S1_1,40.86355,-73.9227,136,20.419
S1_1,40.864533,-73.9218,137,20.552
S1_1,40.865517,-73.9209,138,20.685
S1_1,40.8665,-73.92,139,20.818
S1_1,40.866767,-73.919667,140,20.859
S1_1,40.867033,-73.919333,141,20.9
S1_1,40.8673,-73.919,142,20.941
S1_1,40.867567,-73.918667,143,20.981
S1_1,40.867833,-73.918333,144,21.022
S1_1,40.8681,-73.918,145,21.063
S2_0,40.775,-73.912,1,0.0
S2_0,40.774167,-73.91275,2,0.112
S2_0,40.773333,-73.9135,3,0.224
S2_0,40.7725,-73.91425,4,0.336
S2_0,40.771667,-73.915,5,0.449
S2_0,40.770833,-73.91575,6,0.561
S2_0,40.77,-73.9165,7,0.673
S2_0,40.769467,-73.917283,8,0.762
S2_0,40.768933,-73.918067,9,0.85
S2_0,40.7684,-73.91885,10,0.939
S2_0,40.767867,-73.919633,11,1.028
S2_0,40.767333,-73.920417,12,1.116
S2_0,40.7668,-73.9212,13,1.205
S2_0,40.765333,-73.922417,14,1.398
S2_0,40.763867,-73.923633,15,1.59
S2_0,40.7624,-73.92485,16,1.783
S2_0,40.760933,-73.926067,17,1.975
S2_0,40.759467,-73.927283,18,2.168
S2_0,40.758,-73.9285,19,2.361
S2_0,40.756733,-73.930467,20,2.578
S2_0,40.755467,-73.932433,21,2.796
S2_0,40.7542,-73.9344,22,3.013
S2_0,40.752933,-73.936367,23,3.23
S2_0,40.751667,-73.938333,24,3.448
S2_0,40.7504,-73.9403,25,3.665
S2_0,40.749917,-73.940833,26,3.735
S2_0,40.749433,-73.941367,27,3.805
S2_0,40.74895,-73.9419,28,3.875
S2_0,40.748467,-73.942433,29,3.946
S2_0,40.747983,-73.942967,30,4.016
S2_0,40.7475,-73.9435,31,4.086
S2_0,40.746967,-73.9444,32,4.182
S2_0,40.746433,-73.9453,33,4.278
S2_0,40.7459,-73.9462,34,4.374
S2_0,40.745367,-73.9471,35,4.471
S2_0,40.744833,-73.948,36,4.567
S2_0,40.7443,-73.9489,37,4.663
S2_0,40.74475,-73.949333,38,4.725
S2_0,40.7452,-73.949767,39,4.787
S2_0,40.74565,-73.9502,40,4.849
S2_0,40.7461,-73.950633,41,4.911
S2_0,40.74655,-73.951067,42,4.973
S2_0,40.747,-73.9515,43,5.035
S2_0,40.747667,-73.95325,44,5.2
S2_0,40.748333,-73.955,45,5.365
S2_0,40.749,-73.95675,46,5.53
S2_0,40.749667,-73.9585,47,5.695
S2_0,40.750333,-73.96025,48,5.86
S2_0,40.751,-73.962,49,6.025
S2_0,40.751283,-73.964533,50,6.241
S2_0,40.751567,-73.967067,51,6.456
S2_0,40.75185,-73.9696,52,6.672
S2_0,40.752133,-73.972133,53,6.888
S2_0,40.752417,-73.974667,54,7.103
S2_0,40.7527,-73.9772,55,7.319
S2_0,40.751417,-73.978167,56,7.483
S2_0,40.750133,-73.979133,57,7.648
S2_0,40.74885,-73.9801,58,7.812
S2_0,40.747567,-73.981067,59,7.976
S2_0,40.746283,-73.982033,60,8.141
S2_0,40.745,-73.983,61,8.305
S2_0,40.743483,-73.984267,62,8.504
S2_0,40.741967,-73.985533,63,8.704
S2_0,40.74045,-73.9868,64,8.904
S2_0,40.738933,-73.988067,65,9.103
S2_0,40.737417,-73.989333,66,9.303
S2_0,40.7359,-73.9906,67,9.502
S2_0,40.734667,-73.99,68,9.648
S2_0,40.733433,-73.9894,69,9.795
S2_0,40.7322,-73.9888,70,9.941
S2_0,40.730967,-73.9882,71,10.087
S2_0,40.729733,-73.9876,72,10.233
S2_0,40.7285,-73.987,73,10.379
S2_0,40.728417,-73.9868,74,10.399
S2_0,40.728333,-73.9866,75,10.418
S2_0,40.72825,-73.9864,76,10.437
S2_0,40.728167,-73.9862,77,10.456
S2_0,40.728083,-73.986,78,10.475
S2_0,40.728,-73.9858,79,10.495
S2_0,40.726217,-73.984967,80,10.705
S2_0,40.724433,-73.984133,81,10.915
S2_0,40.72265,-73.9833,82,11.126
S2_0,40.720867,-73.982467,83,11.336
S2_0,40.719083,-73.981633,84,11.547
S2_0,40.7173,-73.9808,85,11.757
S2_0,40.716667,-73.98175,86,11.864
S2_0,40.716033,-73.9827,87,11.97
S2_0,40.7154,-73.98365,88,12.077
S2_0,40.714767,-73.9846,89,12.183
S2_0,40.714133,-73.98555,90,12.29
S2_0,40.7135,-73.9865,91,12.397
S2_0,40.713083,-73.984583,92,12.565
S2_0,40.712667,-73.982667,93,12.733
S2_0,40.71225,-73.98075,94,12.901
S2_0,40.711833,-73.978833,95,13.069
S2_0,40.711417,-73.976917,96,13.237
S2_0,40.711,-73.975,97,13.405
S2_0,40.710667,-73.97325,98,13.557
S2_0,40.710333,-73.9715,99,13.709
S2_0,40.71,-73.96975,100,13.861
S2_0,40.709667,-73.968,101,14.013
S2_0,40.709333,-73.96625,102,14.165
S2_0,40.709,-73.9645,103,14.318
S2_0,40.708883,-73.963267,104,14.422
S2_0,40.708767,-73.962033,105,14.527
S2_0,40.70865,-73.9608,106,14.632
S2_0,40.708533,-73.959567,107,14.737
S2_0,40.708417,-73.958333,108,14.841
S2_0,40.7083,-73.9571,109,14.946
S2_0,40.708,-73.957417,110,14.989
S2_0,40.7077,-73.957733,111,15.032
S2_0,40.7074,-73.95805,112,15.074
S2_0,40.7071,-73.958367,113,15.117
S2_0,40.7068,-73.958683,114,15.16
S2_0,40.7065,-73.959,115,15.203
S2_0,40.70625,-73.960167,116,15.305
S2_0,40.706,-73.961333,117,15.407
S2_0,40.70575,-73.9625,118,15.509
S2_0,40.7055,-73.963667,119,15.611
S2_0,40.70525,-73.964833,120,15.713
S2_0,40.705,-73.966,121,15.816
S2_0,40.70475,-73.968,122,15.987
S2_0,40.7045,-73.97,123,16.157
S2_0,40.70425,-73.972,124,16.328
S2_0,40.704,-73.974,125,16.499
S2_0,40.70375,-73.976,126,16.67
S2_0,40.7035,-73.978,127,16.841
S2_0,40.703467,-73.980517,128,17.053
S2_0,40.703433,-73.983033,129,17.265
S2_0,40.7034,-73.98555,130,17.477
S2_0,40.703367,-73.988067,131,17.69
S2_0,40.703333,-73.990583,132,17.902
S2_0,40.7033,-73.9931,133,18.114
S2_0,40.702417,-73.992417,134,18.228
S2_0,40.701533,-73.991733,135,18.342
S2_0,40.70065,-73.99105,136,18.456
S2_0,40.699767,-73.990367,137,18.569
S2_0,40.698883,-73.989683,138,18.683
S2_0,40.698,-73.989,139,18.797
S2_0,40.697117,-73.98905,140,18.895
S2_0,40.696233,-73.9891,141,18.994
S2_0,40.69535,-73.98915,142,19.092
S2_0,40.694467,-73.9892,143,19.19
S2_0,40.693583,-73.98925,144,19.289
S2_0,40.6927,-73.9893,145,19.387
S2_1,40.6927,-73.9893,1,0.0
S2_1,40.693583,-73.98925,2,0.098
S2_1,40.694467,-73.9892,3,0.197
S2_1,40.69535,-73.98915,4,0.295
S2_1,40.696233,-73.9891,5,0.393
S2_1,40.697117,-73.98905,6,0.492
S2_1,40.698,-73.989,7,0.59
S2_1,40.698883,-73.989683,8,0.704
S2_1,40.699767,-73.990367,9,0.818
S2_1,40.70065,-73.99105,10,0.931
S2_1,40.701533,-73.991733,11,1.045
S2_1,40.702417,-73.992417,12,1.159
S2_1,40.7033,-73.9931,13,1.273
S2_1,40.703333,-73.990583,14,1.485
S2_1,40.703367,-73.988067,15,1.697
S2_1,40.7034,-73.98555,16,1.91
S2_1,40.703433,-73.983033,17,2.122
S2_1,40.703467,-73.980517,18,2.334
S2_1,40.7035,-73.978,19,2.546
S2_1,40.70375,-73.976,20,2.717
S2_1,40.704,-73.974,21,2.888
S2_1,40.70425,-73.972,22,3.059
S2_1,40.7045,-73.97,23,3.23
S2_1,40.70475,-73.968,24,3.4
S2_1,40.705,-73.966,25,3.571
S2_1,40.70525,-73.964833,26,3.674
S2_1,40.7055,-73.963667,27,3.776
S2_1,40.70575,-73.9625,28,3.878
S2_1,40.706,-73.961333,29,3.98
S2_1,40.70625,-73.960167,30,4.082
S2_1,40.7065,-73.959,31,4.185
S2_1,40.7068,-73.958683,32,4.227
S2_1,40.7071,-73.958367,33,4.27
S2_1,40.7074,-73.95805,34,4.313
S2_1,40.7077,-73.957733,35,4.355
S2_1,40.708,-73.957417,36,4.398
S2_1,40.7083,-73.9571,37,4.441
S2_1,40.708417,-73.958333,38,4.546
S2_1,40.708533,-73.959567,39,4.65
S2_1,40.70865,-73.9608,40,4.755
S2_1,40.708767,-73.962033,41,4.86
S2_1,40.708883,-73.963267,42,4.965
S2_1,40.709,-73.9645,43,5.069
S2_1,40.709333,-73.96625,44,5.222
S2_1,40.709667,-73.968,45,5.374
S2_1,40.71,-73.96975,46,5.526
S2_1,40.710333,-73.9715,47,5.678
S2_1,40.710667,-73.97325,48,5.83
S2_1,40.711,-73.975,49,5.982
S2_1,40.711417,-73.976917,50,6.15
S2_1,40.711833,-73.978833,51,6.318
S2_1,40.71225,-73.98075,52,6.486
S2_1,40.712667,-73.982667,53,6.654
S2_1,40.713083,-73.984583,54,6.822
S2_1,40.7135,-73.9865,55,6.99
S2_1,40.714133,-73.98555,56,7.097
S2_1,40.714767,-73.9846,57,7.204
S2_1,40.7154,-73.98365,58,7.31
S2_1,40.716033,-73.9827,59,7.417
S2_1,40.716667,-73.98175,60,7.524
S2_1,40.7173,-73.9808,61,7.63
S2_1,40.719083,-73.981633,62,7.84
S2_1,40.720867,-73.982467,63,8.051
S2_1,40.72265,-73.9833,64,8.261
S2_1,40.724433,-73.984133,65,8.472
S2_1,40.726217,-73.984967,66,8.682
S2_1,40.728,-73.9858,67,8.892
S2_1,40.728083,-73.986,68,8.912
S2_1,40.728167,-73.9862,69,8.931
S2_1,40.72825,-73.9864,70,8.95
S2_1,40.728333,-73.9866,71,8.969
S2_1,40.728417,-73.9868,72,8.988
S2_1,40.7285,-73.987,73,9.008
S2_1,40.729733,-73.9876,74,9.154
S2_1,40.730967,-73.9882,75,9.3
S2_1,40.7322,-73.9888,76,9.446
S2_1,40.733433,-73.9894,77,9.592
S2_1,40.734667,-73.99,78,9.739
S2_1,40.7359,-73.9906,79,9.885
S2_1,40.737417,-73.989333,80,10.084
S2_1,40.738933,-73.988067,81,10.284
S2_1,40.74045,-73.9868,82,10.483
S2_1,40.741967,-73.985533,83,10.683
S2_1,40.743483,-73.984267,84,10.883
S2_1,40.745,-73.983,85,11.082
S2_1,40.746283,-73.982033,86,11.246
S2_1,40.747567,-73.981067,87,11.411
S2_1,40.74885,-73.9801,88,11.575
S2_1,40.750133,-73.979133,89,11.739
S2_1,40.751417,-73.978167,90,11.904
S2_1,40.7527,-73.9772,91,12.068
S2_1,40.752417,-73.974667,92,12.284
S2_1,40.752133,-73.972133,93,12.499
S2_1,40.75185,-73.9696,94,12.715
S2_1,40.751567,-73.967067,95,12.931
S2_1,40.751283,-73.964533,96,13.146
S2_1,40.751,-73.962,97,13.362
S2_1,40.750333,-73.96025,98,13.527
S2_1,40.749667,-73.9585,99,13.692
S2_1,40.749,-73.95675,100,13.857
S2_1,40.748333,-73.955,101,14.022
S2_1,40.747667,-73.95325,102,14.187
S2_1,40.747,-73.9515,103,14.352
S2_1,40.74655,-73.951067,104,14.414
S2_1,40.7461,-73.950633,105,14.476
S2_1,40.74565,-73.9502,106,14.538
S2_1,40.7452,-73.949767,107,14.6
S2_1,40.74475,-73.949333,108,14.662
S2_1,40.7443,-73.9489,109,14.724
S2_1,40.744833,-73.948,110,14.82
S2_1,40.745367,-73.9471,111,14.916
S2_1,40.7459,-73.9462,112,15.013
S2_1,40.746433,-73.9453,113,15.109
S2_1,40.746967,-73.9444,114,15.205
S2_1,40.7475,-73.9435,115,15.301
S2_1,40.747983,-73.942967,116,15.371
S2_1,40.748467,-73.942433,117,15.441
S2_1,40.74895,-73.9419,118,15.512
S2_1,40.749433,-73.941367,119,15.582
S2_1,40.749917,-73.940833,120,15.652
S2_1,40.7504,-73.9403,121,15.722
S2_1,40.751667,-73.938333,122,15.939
S2_1,40.752933,-73.936367,123,16.157
S2_1,40.7542,-73.9344,124,16.374
S2_1,40.755467,-73.932433,125,16.591
S2_1,40.756733,-73.930467,126,16.809
S2_1,40.758,-73.9285,127,17.026
S2_1,40.759467,-73.927283,128,17.219
S2_1,40.760933,-73.926067,129,17.412
S2_1,40.7624,-73.92485,130,17.604
S2_1,40.763867,-73.923633,131,17.797
S2_1,40.765333,-73.922417,132,17.989
S2_1,40.7668,-73.9212,133,18.182
S2_1,40.767333,-73.920417,134,18.271
S2_1,40.767867,-73.919633,135,18.359
S2_1,40.7684,-73.91885,136,18.448
S2_1,40.768933,-73.918067,137,18.537
S2_1,40.769467,-73.917283,138,18.625
S2_1,40.77,-73.9165,139,18.714
S2_1,40.770833,-73.91575,140,18.826
S2_1,40.771667,-73.915,141,18.938
S2_1,40.7725,-73.91425,142,19.051
S2_1,40.773333,-73.9135,143,19.163
S2_1,40.774167,-73.91275,144,19.275
S2_1,40.775,-73.912,145,19.387
S3_0,40.6927,-73.9893,1,0.0
S3_0,40.6913,-73.9874,2,0.223
S3_0,40.6899,-73.9855,3,0.447
S3_0,40.6885,-73.9836,4,0.67
S3_0,40.6871,-73.9817,5,0.894
S3_0,40.6857,-73.9798,6,1.117
S3_0,40.6843,-73.9779,7,1.34
S3_0,40.68305,-73.9768,8,1.507
S3_0,40.6818,-73.9757,9,1.674
S3_0,40.68055,-73.9746,10,1.842
S3_0,40.6793,-73.9735,11,2.009
S3_0,40.67805,-73.9724,12,2.176
S3_0,40.6768,-73.9713,13,2.343
S3_0,40.674167,-73.97075,14,2.639
S3_0,40.671533,-73.9702,15,2.936
S3_0,40.6689,-73.96965,16,3.232
S3_0,40.666267,-73.9691,17,3.529
S3_0,40.663633,-73.96855,18,3.825
S3_0,40.661,-73.968,19,4.122
S3_0,40.660167,-73.967667,20,4.219
S3_0,40.659333,-73.967333,21,4.315
S3_0,40.6585,-73.967,22,4.412
S3_0,40.657667,-73.966667,23,4.509
S3_0,40.656833,-73.966333,24,4.606
S3_0,40.656,-73.966,25,4.703
S3_0,40.655067,-73.965367,26,4.819
S3_0,40.654133,-73.964733,27,4.936
S3_0,40.6532,-73.9641,28,5.053
S3_0,40.652267,-73.963467,29,5.17
S3_0,40.651333,-73.962833,30,5.286
S3_0,40.6504,-73.9622,31,5.403
S3_0,40.647833,-73.962,32,5.689
S3_0,40.645267,-73.9618,33,5.975
S3_0,40.6427,-73.9616,34,6.261
S3_0,40.640133,-73.9614,35,6.547
S3_0,40.637567,-73.9612,36,6.833
S3_0,40.635,-73.961,37,7.118
S3_0,40.6325,-73.960667,38,7.398
S3_0,40.63,-73.960333,39,7.677
S3_0,40.6275,-73.96,40,7.957
S3_0,40.625,-73.959667,41,8.236
S3_0,40.6225,-73.959333,42,8.515
S3_0,40.62,-73.959,43,8.795
S3_0,40.618083,-73.958667,44,9.01
S3_0,40.616167,-73.958333,45,9.225
S3_0,40.61425,-73.958,46,9.44
S3_0,40.612333,-73.957667,47,9.655
S3_0,40.610417,-73.957333,48,9.87
S3_0,40.6085,-73.957,49,10.085
S3_0,40.60675,-73.956833,50,10.28
S3_0,40.605,-73.956667,51,10.475
S3_0,40.60325,-73.9565,52,10.67
S3_0,40.6015,-73.956333,53,10.865
S3_0,40.59975,-73.956167,54,11.06
S3_0,40.598,-73.956,55,11.255
S3_0,40.5961,-73.9558,56,11.467
S3_0,40.5942,-73.9556,57,11.679
S3_0,40.5923,-73.9554,58,11.891
S3_0,40.5904,-73.9552,59,12.103
